epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8992211222648621,9.999999747378752e-06,0.3498806059360504,0.885095477104187,0.32666003704071045
1,0.9145621657371521,9.999999747378752e-06,0.2975828945636749,0.9082232117652893,0.27301329374313354
2,0.9197545647621155,9.999999747378752e-06,0.2718803882598877,0.9082232117652893,0.27139198780059814
3,0.922901451587677,9.999999747378752e-06,0.2554618716239929,0.9159324765205383,0.2589207589626312
4,0.925654947757721,9.999999747378752e-06,0.24547763168811798,0.9140968918800354,0.2585815191268921
5,0.9310046434402466,9.999999747378752e-06,0.22787220776081085,0.9174008965492249,0.2415212243795395
6,0.934859573841095,9.999999747378752e-06,0.22033719718456268,0.9254772663116455,0.22561948001384735
7,0.9446148872375488,9.999999747378752e-06,0.19340172410011292,0.935756266117096,0.19663891196250916
8,0.9430414438247681,9.999999747378752e-06,0.18985573947429657,0.9291483163833618,0.21046705543994904
9,0.9450082778930664,9.999999747378752e-06,0.1827055811882019,0.9379588961601257,0.19490788877010345
