epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7023050785064697,0.0010000000474974513,1.1267558336257935,0.7742290496826172,0.710860013961792
1,0.8379356265068054,0.0010000000474974513,0.6329236030578613,0.8256241083145142,0.5354409217834473
2,0.8631107211112976,0.0010000000474974513,0.5150442123413086,0.8480176329612732,0.4574810862541199
3,0.8749114871025085,0.0010000000474974513,0.46199676394462585,0.8560940027236938,0.42591798305511475
4,0.8849815130233765,0.0010000000474974513,0.4228844940662384,0.8865638971328735,0.3582407534122467
5,0.8851388692855835,0.0010000000474974513,0.400174617767334,0.8693098425865173,0.38594627380371094
6,0.900558590888977,0.0010000000474974513,0.3651546537876129,0.8707782626152039,0.38506385684013367
7,0.8995358347892761,0.00020000000949949026,0.357634037733078,0.8839941024780273,0.3421112298965454
8,0.9012666344642639,0.00020000000949949026,0.34678885340690613,0.8810572624206543,0.33801791071891785
9,0.9038627743721008,0.00020000000949949026,0.34511131048202515,0.8832598924636841,0.3384499251842499
10,0.8997718691825867,0.00020000000949949026,0.3484359681606293,0.8828927874565125,0.3421475887298584
11,0.9049642086029053,4.0000002627493814e-05,0.3414209187030792,0.884361207485199,0.33678558468818665
12,0.9092124700546265,4.0000002627493814e-05,0.3259168565273285,0.8839941024780273,0.3348435163497925
13,0.9056722521781921,4.0000002627493814e-05,0.33472058176994324,0.885095477104187,0.33477267622947693
14,0.9040201306343079,4.0000002627493814e-05,0.33533409237861633,0.885095477104187,0.33452272415161133
